"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","This is a testwith error","SUCCESS","2019-06-23T20:17:33.937-05:00[America/Bogota]","0.0","0.0"
"First serenity test","This is a manual test","SUCCESS","2019-06-23T20:17:33.937-05:00[America/Bogota]","0.0","0.0"
"First serenity test","This is a skipped test","PENDING","2019-06-23T20:17:33.937-05:00[America/Bogota]","0.0","0.0"
"First serenity test","This is a pending test","SUCCESS","2019-06-23T20:17:33.937-05:00[America/Bogota]","0.0","0.0"
"Sudents CRUD test","Delete the student and verify if the student is delete","SUCCESS","2019-06-23T20:17:34.062-05:00[America/Bogota]","0.0","0.0"
"Sudents CRUD test","Update user information and verify the update infomation!","SUCCESS","2019-06-23T20:17:34.142-05:00[America/Bogota]","0.0","0.0"
"Sudents CRUD test","This test will create a new studen","ERROR","2019-06-23T20:17:34.143-05:00[America/Bogota]","0.0","5.55"
"First serenity test","File does not exist","COMPROMISED","2019-06-23T20:17:34.282-05:00[America/Bogota]","0.0","0.1"
"First serenity test","Get all students","COMPROMISED","2019-06-23T20:17:39.147-05:00[America/Bogota]","0.0","0.0"
"First serenity test","This failing test","FAILURE","2019-06-23T20:17:39.166-05:00[America/Bogota]","0.0","0.0"
"Sudents CRUD test","Verify if the student was added to the application","ERROR","2019-06-23T20:17:39.743-05:00[America/Bogota]","0.0","0.03"
"Create students data driven test","DataDriven Test for adding multiple students to the Student App.","SUCCESS","2019-06-23T20:17:44.351-05:00[America/Bogota]","0.0","8.38"
